subject_id,time_elapsed,gender,age,understood,comments
b18f1b201142a38429df7158f2219492,1072902,male,38,yes,NA
78c1395b7720035b691a09cef9e4d9b9,1223718,female,47,yes,NA
ada0e127fab4e062e5233c38a943bdab,1672913,female,43,yes,None
b750899d5c43c86a4b98150cc49743ea,878962,male,64,yes,NA
6c7281113370d2eeff1ea57f4a92b65f,2323631,male,38,yes,NA
39ea363ccc1f36ddc391862afd84f6ed,743195,female,48,yes,NA
b31fcc0f4d05be4c8dbee451c49a1548,899772,male,34,yes,None. Thank you.
d1ad92b5f676d00fb40f06ef4cc5edff,422019,male,44,yes,NA
208e4e2f139da4885d855004a06cf48d,850075,male,24,yes,NA
8c2e4a61152093e9e202b80cc7e3cce9,640805,male,39,yes,NA
62e3a0e25d58be433be3001b27e7aebc,851042,male,35,yes,NA
721b239419bea2f49774cf25c91abc04,1235897,female,44,yes,NA
d8014a9498b5db647ad9f897c685ad4f,608113,female,36,yes,NA
ab8a830dd7ec9c0ce3facd9a57f9e442,961395,female,53,yes,NA
1f738de35db7d610c855261766dfa722,682552,female,35,yes,"On the Ben scenario there is a typo, it has the wrong names listed so it was a bit confusing."
412d63e885f9773405a688895d86b334,1455871,female,56,yes,thank you
27267ce21acf97bb0041c9f43fee4f96,750747,male,33,yes,Not really.
6e828079747d0437d062af9275806a53,1181253,female,57,yes,no
d6751f83cebbc34b6aef89d38144bd00,935236,male,76,yes,NA
edcc049580bd32c8ed0e4c720c0fc549,748963,male,34,yes,No comments.
8d2579885b6a57e630faefbd5bcced75,781867,female,41,yes,N/A
1adfcfc9dde5d79be3d069162c395ed3,1269898,female,54,yes,NA
0663942b6607bf535872bc0bff669f65,450799,male,24,yes,NA
46218afbf76cf9af67f5c046cb5426e1,436119,male,32,yes,NA
5d133d32a754c8c8b1c080c81041ff81,936858,female,35,yes,NA
d7b96921dfea0757b40e6082623f9f88,530129,female,55,yes,n/a
2a9272790a1d43f6ccb73bcc551fb1b9,1867303,female,48,yes,NA
a0f97797a3428466d0075bc9fd03f4a5,512187,female,50,yes,NA
80f68d76eb9b29a68893290033feb8e3,3822272,female,28,yes,NA
04b0392a95e7827da26ae906232d4b8b,697356,male,59,yes,NA
1eb0199711fbe4298f8bfb4da1d9add7,725148,male,23,yes,nope
dbfec972b286408b375bdc6cfe399696,443955,male,36,yes,NA
2850458854b0c86619794be2721bbb6d,550648,female,30,yes,NA
561dd904179b7d08a5f8f31f5819002b,951566,female,38,yes,NA
130fa201a7616cc7188dbccc069ad676,1002532,male,58,yes,NA
03f4d995107f2e0fc69a00166d1a43d0,927440,female,52,yes,NA
9fb2b9de404e987c70a4ec20741ba88a,654126,male,39,yes,NA
5d96b6d2699f5b14cd35b49accde729c,564233,male,27,yes,NA
ab360f63e60c6b4cfc4f5d3fc4af5fd1,846080,male,68,yes,No
69f30031c78fe719e568754a9eb34f7c,722818,female,34,yes,I got several of the first time scenarios wrong because I was thinking of it more along the lines that the person with less power would be made to do the bulk of the work.
7f8dc40472e7470e2b0d83878682ad76,818558,female,51,yes,NA
053c1181a3979fbf6e9f800bd001f763,678663,female,26,yes,n/a
a85551ec325a24f239e2a496b21d887a,2788176,male,39,yes,no comment
723b5a0135f6a833933b7e4ee77a1f69,1105261,male,25,yes,NA
40bfeff4385febd6ada85e640e24a370,579242,female,58,yes,none
638bd9f34c00051f00605e15fb87a62b,1139461,female,66,yes,NA
8637d9201276dc24ef20a392d8a09773,778776,male,27,yes,N/A
1b80af13eb1245fe3a19e7b28abe86a9,805946,female,24,yes,NA
3787129d9afe354ec8b959129eab6927,1027198,female,63,yes,NA
03bee47b02f60f0d457914430c61b8db,881034,male,47,yes,NA
c2c17bad45a452b910d2be1fb40bc9b8,557347,male,39,yes,NA
d07e901117e05a86f08e3f739d63b14e,861256,male,22,yes,NA
eeb94d776f57b1203296ce176845d6bd,748000,female,30,yes,None
0cebc311964ae76e4fb9889b48471cc5,605506,male,26,yes,Everything was easy to understand and answer thank you!
fc36a9f9975cd8fbc3218435b2f9c165,493104,female,36,yes,One on the questions said they woke up early to sleep in- that's not possible.
97d9265f60e5c83e4b9788eb4e449cb6,1008722,male,32,yes,NA
4562ffbfdaea73abbda27693185303ee,2413657,female,22,yes,NA
27ac7aab3823e09730d02ef4c093e340,643660,male,35,yes,NA
65ad2d9b6fc32bb5cd0b89db3b3720e0,884629,male,20,yes,n/a
69481297ea7702479b7afe80b53b8dae,1177866,female,30,yes,NA
48572c8fb6c5496a702d1575b5fa20aa,452182,male,49,yes,no
7d14637cd5d75e92ee99b6c70e19ac78,531824,female,26,yes,NA
af885634165992a45a35b95af7bb3ce1,701410,male,22,yes,NA
0dd9aff78ab0df391835c625fadabd10,584442,male,38,yes,NA
5ede72d2ea08a83b04c6dbf63c3875db,1336743,female,76,yes,NA
36fbccba091cfa98d44b4e805969b1c8,1105583,female,22,yes,NA
62c5e706e5c324a569bc1520729c2a24,850261,female,22,yes,NA
d59307fc9007a5f3e9cc24312fa617f5,304287,female,28,yes,NA
11ca843efaf76752ba22a0f92e0a1f72,676033,female,34,yes,NA
4b5c48cc8fcdd63f204a1702280ed0b6,795234,female,37,yes,interesting!
2e2f8695728b282d954b1d4147e60027,585321,female,25,yes,NA
b8a3750591bc8e431fa37394f39a2e5e,1446142,male,20,yes,NA
4424fed4a95910fd9e4eeaabb94f0c45,2199187,male,25,yes,NA
8a11ca2075f7d4e7cded9272aac38001,1452298,female,29,yes,NA
21f1f027cc543d7dcf33cb74620899cd,568077,female,34,yes,NA
8e64f53fddc69aa12f3fd5da49a9ccbc,906944,female,54,yes,this was an interesting study.  I used previous answers to guide my choices
edc3fa9f384405ee42becaef8e3a9fb5,1006181,female,27,yes,NA
8c95f1ffd84cd2f12884d1ced76a359d,724111,female,21,yes,NA
af86eea55191e176914814b6cc98f456,698795,male,22,yes,"Just now realizing that I interpreted, ""relationship,"" specifically as a romantic one... so- lots of same-sex romantic relationships."
5518ab5e50241937bf8b7eb846dfe8b9,609939,female,22,yes,NA
74cdfb393268cb25e66dec52049ef7a6,2144383,female,27,yes,NA
5a6ae1b8f1185f93a6972b91996486ef,844808,female,23,yes,NA
1807c252d8dbec0d17cf1df1055eecf3,326367,male,19,yes,NA
840458347c74166193b1070b02476686,1803591,female,33,yes,I enjoyed working on the survey.
ab013b227a4c1938cc447d2a788900dc,1304793,male,35,yes,no comments.
7f0d4aaff4a388cea621e0730ef917a3,600990,female,54,yes,The very first scenario I think was between 2 guys but the info in the box was on Taylor and someone else--and that was a scenario that came later (the writers one). So it appears the wrong prompt was in that box for the first scenario.
e27909b79a7c64a43a1640ab7f54670c,1184162,male,53,yes,Thank You.
a60c13acdf8536b89276647c67a8aaef,2660701,female,44,yes,No
ee3aa85857b0ffe410271c5a9964bd4d,777133,male,63,yes,NA
21680b3451e158b8cfc82b33613296c4,1606120,female,47,yes,NA
2654c47566f8dba64241fe84d14af3e9,1162735,male,52,yes,"I think there was a typo on one question, which had an answer that did not make sense - it said ""they woke up early so they could sleep in, etc etc"". Not sure if that was intentional or not."
facf773dee3f73fed2dbf49a687a7c71,1177090,male,35,yes,NA
a58471d94bb6ff19bb3f58d0015409b3,1370685,male,30,yes,NA
e844898aba69927e6ae329e10cde169b,1197407,male,35,yes,NA
482751e49faa3e9380a0cc5aea658813,1087689,female,64,yes,it was different
7fe499c8dbb2abdb8425556a88792c3f,602265,male,26,yes,none thank you for this opportunity
c8ebae878abaf2bd90544c48af4b19bc,656895,female,26,yes,NA
45a2cbfd75d2a1d09d431836f22f0ca5,485318,female,29,yes,NA
e35dec08d24d0fdd22a249a8a34de025,615051,male,24,yes,None
07ac79f8446b2ffa2ba1bc65b9df0d12,1992118,male,27,yes,n/a
94ce6c0509e04a0b0226573ba3db430b,670933,female,23,yes,NA
014f31b58c231e609d293267bd7158c4,1012592,male,33,yes,N/A
f8a7c172a7f40071675b0fce61154306,772210,male,42,yes,Very important experiment.
58bccc72632d1b6d44f5d6655dc39d85,1029698,male,47,yes,no comments
bcb432bc1f67a2e2ddc2f3a53e33e6e6,1580515,male,42,yes,"one scenario had the two ""woke up both days to sleep in"" which is worded strange."
2733e6c0869f1ae5939aaf81ecced3ef,1281889,female,57,yes,NA
393f2c6b83ea604bf3a0a5b4440c7ead,1286179,female,33,yes,NA
d522ed604fa4e2ad70cbf690b6510ef0,1057174,male,36,yes,"For the friends that spent the weekend together, was one of the options meant to be that they ""woke up later and slept in, walked around, etc."" instead of ""woke up earlier and slept in...""?"
83f568d347fcb5320a7aebe691446425,574819,female,25,yes,NA
5cdffe3273d7bfb175c04206d4ef968a,801603,male,36,yes,NA
801ba288790ae4a2d44f2a717c7bf341,934908,male,51,yes,Interesting study!  Thank you
381787df0483fd4d1cca21d29910d25b,570498,female,51,yes,Thanks
0b72b429ce5eb7921252d0f34eb6a850,608848,male,18,yes,NA
30b95f54c30ddeabe66bb9369f907820,661002,male,53,yes,NA
43d40e0037c219b7bd2265ca4b4590d1,879854,male,59,yes,"There were some examples where reciprocity would be expected. The others, were a specific person would lead no matter what."
a11f3d2055d75536419cb5b7530523b3,728311,male,38,yes,"Thank you, hope my answers helped your study."
e46481a747038284214577a554c776ed,920500,female,20,yes,NA
aae5f159d9086666c15738b29816fd52,1246787,female,65,yes,NA
